"","species","ID","N_wght_p_GREEN","N_wght_p_DEAD","C_wght_p_GREEN","C_wght_p_DEAD"
"457","VILL","VILL_GG_0007_3",3.97,1.42,37.24,37.26
"458","VILL","VILL_GG_0007_40",NA,1.33,NA,36.27
"459","VILL","VILL_GG_0007_42",3.5,1.15,34.66,35.88
"460","VILL","VILL_GG_0007_43",3.92,NA,36.28,NA
"461","VILL","VILL_GG_0007_47",NA,1.14,NA,37.11
"462","VILL","VILL_GG_0007_49",3.65,1.16,36.29,36.57
"463","VILL","VILL_GG_0007_50",3.34,1.55,35.34,35.54
"464","VILL","VILL_GG_0007_53",3.64,1.53,36.69,36.9
"465","VILL","VILL_GG_0007_54",3.53,1.24,35.59,35.8
"466","VILL","VILL_GG_0007_56",3.55,NA,36.53,NA
"467","VILL","VILL_GG_0007_57",3.36,1.22,35.07,35.29
"468","VILL","VILL_GG_0007_60",3.4,1.02,35.7,36.17
"469","VILL","VILL_GG_0007_61",3.64,1.24,34.81,35.85
"470","VILL","VILL_GG_0007_66",NA,1.33,NA,36.59
